Origin,Yearly_Flights,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
ONT,14615,0.37310981867943893,0.02244269586041738,0.24657151551677087,0.3572744014732965,37.129470016504676,0.75,0.75,0.75,0.75,0.75,3.75,ONT,Ontario International Airport,34.056,-117.600998
CMH,14520,0.3568181818181818,0.029614325068870524,0.3056839541473622,0.30442477876106194,40.60413047674194,0.75,0.5,0.75,1.0,0.75,3.75,CMH,John Glenn Columbus International Airport,39.998001,-82.891899
JAX,14451,0.36793301501626186,0.026849352985952528,0.29486835237283876,0.3892988929889299,46.10833176603348,0.75,0.75,0.75,0.75,0.5,3.5,JAX,Jacksonville International Airport,30.492469,-81.687813
CVG,13722,0.3614633435359277,0.022372831948695524,0.3899089280482146,0.3684210526315789,43.92842741935484,0.75,0.75,0.5,0.75,0.75,3.5,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
BDL,13281,0.36209622769369776,0.026353437241171597,0.3649109670711146,0.3058823529411765,46.78290704928259,0.75,0.75,0.5,1.0,0.5,3.5,BDL,Bradley International Airport,41.93851,-72.688066
ANC,12745,0.38344448803452336,0.021498626912514713,0.40067360695121323,0.3991228070175439,29.79864947820749,0.75,0.75,0.5,0.75,1.0,3.75,ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561
CHS,11808,0.3842310298102981,0.031504065040650404,0.28720101949072624,0.4261241970021413,45.239806039232974,0.75,0.5,0.75,0.5,0.5,3.0,CHS,Charleston International Airport,32.898602,-80.040497
KOA,11667,0.4433016199537156,0.010285420416559526,0.17190628103924793,0.4439746300211416,26.334880123743233,0.5,1.0,1.0,0.5,1.0,4.0,KOA,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603
ABQ,11312,0.3603253182461103,0.019978783592644978,0.22865087683333896,0.3613636363636364,40.9396467124632,0.75,1.0,1.0,0.75,0.75,4.25,ABQ,Albuquerque International Sunport,35.039976,-106.608925
MKE,11121,0.33468213290171744,0.028954230734646164,0.3727433595152524,0.2881773399014778,40.1947877485223,1.0,0.5,0.5,1.0,0.75,3.75,MKE,General Mitchell International Airport,42.947201,-87.896599
LIH,10977,0.4616015304728068,0.011023048191673499,0.19906460544249666,0.42663656884875845,26.790408525754884,0.5,1.0,1.0,0.5,1.0,4.0,LIH,Lihue Airport,21.976,-159.339005
OMA,10322,0.357295097849254,0.025673319124200737,0.3159093340764676,0.3173076923076923,39.83975054229935,0.75,0.75,0.75,1.0,0.75,4.0,OMA,Eppley Airfield,41.3032,-95.894096
RNO,10142,0.37418655097613884,0.025931768881877343,0.28552480570688427,0.40389294403892945,44.33913043478261,0.75,0.75,0.75,0.75,0.5,3.5,RNO,Reno Tahoe International Airport,39.4991,-119.767998
