Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
IAH,0.0031225433576783385,0.36146272855133615,0.02390998593530239,0.19446358072705058,0.4444444444444444,32.96887159533074,0.5,0.5,1.0,0.25,1.0,0.25,3.5,IAH,George Bush Intcntl/Houston Airport,Texas,29.98444,-95.34144
IND,0.0020377779436888174,0.33189655172413796,0.01939655172413793,0.23394986782691526,0.3333333333333333,35.188311688311686,0.5,0.5,0.5,0.5,1.0,0.25,3.25,IND,Indianapolis International Airport,Indiana,39.71731,-86.29464
JAC,0.0005928879793060136,0.5185185185185185,0.037037037037037035,0.32641124006092087,0.625,38.957142857142856,0.25,0.25,0.25,0.25,0.5,0.0,1.5,JAC,Jackson Hole Airport,Wyoming,43.60733,-110.73775
JFK,0.018388310884105773,0.28827322665392885,0.022211607356102222,0.2049637071209446,0.17834394904458598,37.784589892294946,1.0,0.5,1.0,1.0,0.5,0.5,4.5,JFK,John F Kennedy International Airport,New York,40.63993,-73.77869
JNU,0.011993904233220172,0.32954961552544854,0.02856096667887221,0.24569300904394417,0.3118279569892473,32.46,1.0,0.5,0.5,0.5,1.0,0.5,4.0,JNU,Juneau International Airport,Alaska,58.35471,-134.57847
KOA,0.008063276518561785,0.4395424836601307,0.02287581699346405,0.2074607791338016,0.4666666666666667,36.06567534076828,0.5,0.5,0.5,0.25,1.0,0.25,3.0,KOA,Ellison Onizuka Kona International At Keahole Airport,Hawaii,19.7,-156.0
KTN,0.0057224669410054505,0.30237912509593246,0.02532617037605526,0.11929355814835792,0.27906976744186046,34.78934010152284,1.0,0.5,1.0,1.0,1.0,0.25,4.75,KTN,Ketchikan International Airport,Alaska,55.35408,-131.71122
LAS,0.024672923464749516,0.4318262726949092,0.026699893200427198,0.1905399140107869,0.42272727272727273,31.985572959604287,0.5,0.5,1.0,0.5,1.0,0.5,4.0,LAS,Harry Reid International Airport,Nevada,36.08004,-115.15223
LAX,0.04079069297625374,0.3775839793281654,0.027777777777777776,0.24696301054974631,0.4376657824933687,32.59252922725977,0.5,0.5,0.5,0.25,1.0,0.5,3.25,LAX,Los Angeles International Airport,California,33.9425,-118.40805
LIH,0.006218736138498632,0.4244350282485876,0.026129943502824857,0.0810535980212304,0.41818181818181815,33.0765391014975,0.5,0.5,1.0,0.5,1.0,0.25,3.75,LIH,Lihue Airport,Hawaii,21.97598,-159.33896
