Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
SAN,0.007743700965051455,0.8120300751879699,0.02631578947368421,0.13676040767605724,0.8518518518518519,47.601851851851855,0.25,0.5,1.0,0.25,0.5,0.25,2.75,SAN,San Diego International Airport,California,32.73356,-117.18966
SAT,0.0013391362571141614,0.7934782608695652,0.0,0.16310612496460017,0.8333333333333334,38.89041095890411,0.25,1.0,1.0,0.25,0.5,0.0,3.0,SAT,San Antonio International Airport,Texas,29.53396,-98.46906
SAV,0.014104598186343721,0.5273477812177503,0.03199174406604747,0.36980709368159026,0.5365853658536586,50.43052837573386,0.25,0.25,0.25,0.25,0.5,0.5,2.0,SAV,Savannah/Hilton Head International Airport,Georgia,32.12758,-81.20214
SBN,0.002925721605216809,0.5074626865671642,0.05472636815920398,0.21032572094722168,0.25,40.78431372549019,0.25,0.25,0.5,1.0,0.5,0.25,2.75,SBN,South Bend International Airport,Indiana,41.70822,-86.31734
SCK,0.00852971572466194,0.7747440273037542,0.013651877133105802,0.1882202585558707,0.8275862068965517,53.636563876651984,0.25,1.0,1.0,0.25,0.25,0.25,3.0,SCK,Stockton Metro Airport,California,37.89441,-121.23874
SDF,0.011833888880802317,0.5325953259532595,0.04059040590405904,0.10799826448367954,0.5476190476190477,49.685912240184756,0.25,0.25,1.0,0.25,0.5,0.5,2.75,SDF,Louisville Muhammad Ali International Airport,Kentucky,38.17408,-85.73649
SFB,0.025414477227405714,0.5458190148911798,0.022909507445589918,0.24696501511656976,0.4230769230769231,46.47848898216159,0.25,0.5,0.5,0.5,0.5,0.5,2.75,SFB,Orlando Sanford International Airport,Florida,28.77718,-81.23491
SGF,0.0031149473806785927,0.6121495327102804,0.009345794392523364,0.27564523298049937,0.7272727272727273,36.916030534351144,0.25,1.0,0.5,0.25,1.0,0.25,3.25,SGF,Springfield-Branson Ntl Airport,Missouri,37.24567,-93.38864
SHV,0.001965036899026215,0.8962962962962963,0.007407407407407408,0.14281623980223426,0.8181818181818182,44.247933884297524,0.25,1.0,1.0,0.25,0.5,0.0,3.0,SHV,Shreveport Regional Airport,Louisiana,32.44652,-93.82604
SMX,0.0016448086636293505,0.6814159292035398,0.05309734513274336,0.06419801527708244,0.4,51.116883116883116,0.25,0.25,1.0,0.5,0.5,0.0,2.5,SMX,Santa Maria Pub/Capt G Allan Hancock Field,California,34.89994,-120.45808
SNA,0.015108950379179342,0.6348747591522158,0.0394990366088632,0.23748850986402464,0.5178571428571429,54.42943854324734,0.25,0.25,0.5,0.25,0.25,0.5,2.0,SNA,John Wayne/Orange County Airport,California,33.67566,-117.86823
SRQ,0.04001397359572641,0.4143324845398327,0.014550745725718442,0.21905650788390812,0.38392857142857145,47.79016681299385,0.5,1.0,0.5,0.5,0.5,0.5,3.5,SRQ,Sarasota/Bradenton International Airport,Florida,27.39544,-82.55439
SWF,0.0018049227813277827,0.46774193548387094,0.03225806451612903,0.11588476689058434,0.5,47.310344827586206,0.25,0.25,1.0,0.25,0.5,0.0,2.25,SWF,New York Stewart International Airport,New York,41.50411,-74.10483
SYR,0.005152763424113186,0.556497175141243,0.02824858757062147,0.2004068206183063,0.4,49.86294416243655,0.25,0.5,1.0,0.5,0.5,0.25,3.0,SYR,Syracuse Hancock International Airport,New York,43.11119,-76.10631
TUL,0.003624401391537241,0.4819277108433735,0.01606425702811245,0.1037353191680887,0.42857142857142855,49.25833333333333,0.25,1.0,1.0,0.5,0.5,0.25,3.5,TUL,Tulsa International Airport,Oklahoma,36.19839,-95.88811
TYS,0.018049227813277828,0.4,0.013709677419354839,0.2018009401605417,0.3230769230769231,40.51209677419355,0.5,1.0,1.0,0.5,0.5,0.5,4.0,TYS,Mc Ghee Tyson Airport,Tennessee,35.81109,-83.99407
USA,0.0034642872738388088,0.6050420168067226,0.029411764705882353,0.16680483923557218,0.35714285714285715,60.11805555555556,0.25,0.5,1.0,0.5,0.25,0.25,2.75,USA,Concord-Padgett Regional Airport,North Carolina,35.38777,-80.70913
VPS,0.018587793481899827,0.4549725920125294,0.02427564604541895,0.23968908244377943,0.2807017543859649,46.729776247848534,0.25,0.5,0.5,1.0,0.5,0.5,3.25,VPS,Eglin Afb/Destin-Ft Walton Beach Airport,Florida,30.48322,-86.52604
XNA,0.00480342353095297,0.6696969696969697,0.015151515151515152,0.22680208744744035,0.5,48.83257918552036,0.25,1.0,0.5,0.25,0.5,0.25,2.75,XNA,Northwest Arkansas Ntl Airport,Arkansas,36.28158,-94.30777
