Origin,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
SMF,0.26069078947368424,0.013157894736842105,0.1658347346849962,0.3375,48.96845425867508,0.75,0.75,1.0,0.75,0.75,4.0,SMF,Sacramento International Airport,38.6954,-121.591003
SNA,0.3162043795620438,0.013138686131386862,0.2078785958184577,0.3644067796610169,55.089566020313946,0.75,0.75,1.0,0.5,0.5,3.5,SNA,John Wayne Orange County International Airport,33.675701,-117.867996
SRQ,0.3024439918533605,0.023930753564154784,0.37512228987010837,0.32432432432432434,55.57575757575758,0.75,0.5,0.5,0.75,0.5,3.0,,,,
STL,0.2194144838212635,0.013559322033898305,0.22486428799300578,0.17094017094017094,44.032303370786515,0.75,0.75,1.0,1.0,0.75,4.25,STL,St. Louis Lambert International Airport,38.748697,-90.370003
STT,0.3954305799648506,0.05272407732864675,0.4152525493295374,0.6818181818181818,35.24888888888889,0.5,0.5,0.5,0.5,1.0,3.0,,,,
STX,0.34831460674157305,0.02247191011235955,0.08134401825278144,0.3333333333333333,42.74193548387097,0.5,0.5,1.0,0.75,0.75,3.5,,,,
SYR,0.3197530864197531,0.013580246913580247,0.318801065911207,0.2222222222222222,49.24710424710425,0.75,0.75,0.75,0.75,0.75,3.75,,,,
TLH,0.19027661357921208,0.002514668901927913,0.2461077792808331,0.17391304347826086,49.76211453744494,1.0,1.0,0.75,1.0,0.75,4.5,,,,
TPA,0.2853841709994223,0.025303292894280762,0.3102912596353072,0.278125,46.13400809716599,0.75,0.5,0.75,0.75,0.75,3.5,TPA,Tampa International Airport,27.9755,-82.533203
TRI,0.1935483870967742,0.0,0.8571428571428572,0.0,14.333333333333334,1.0,1.0,0.5,1.0,1.0,4.5,,,,
TUL,0.21686746987951808,0.00547645125958379,0.22121312034265853,0.24242424242424243,38.91414141414141,1.0,1.0,1.0,0.75,0.75,4.5,,,,
TUS,0.2311111111111111,0.01,0.2637641994591267,0.22580645161290322,47.58653846153846,0.75,0.75,0.75,0.75,0.75,3.75,,,,
TVC,0.33668341708542715,0.02512562814070352,0.579598149035118,0.42857142857142855,29.71641791044776,0.5,0.5,0.5,0.5,1.0,3.0,,,,
TYS,0.13816425120772946,0.00966183574879227,0.20458895468889302,0.13793103448275862,47.16783216783217,1.0,1.0,1.0,1.0,0.75,4.75,,,,
VPS,0.22981366459627328,0.00966183574879227,0.23509851499618997,0.20408163265306123,41.330330330330334,0.75,1.0,0.75,0.75,0.75,4.0,,,,
XNA,0.22118380062305296,0.006230529595015576,0.3996582829719161,0.18181818181818182,47.478873239436616,0.75,1.0,0.5,1.0,0.75,4.0,,,,
